cityName,country,lat,lng,temp,humidity,cloudiness,winds
punta arenas,cl,-53.16,-70.91,39.15,76,40,10.29
tiksi,ru,71.64,128.87,39.19,81,92,4.85
ayagoz,kz,47.96,80.43,68.17,46,68,10.38
bocicoiu mare,ro,47.96,24.01,69.93,56,33,4.7
ushuaia,ar,-54.81,-68.31,39.97,56,40,20.8
barreirinhas,br,-2.75,-42.83,88.33,39,3,6.15
vaini,to,15.34,74.49,78.25,89,98,4.12
hobart,au,-42.88,147.33,39.2,86,20,9.17
la malbaie,ca,47.66,-70.15,73.21,72,78,11.68
chuy,uy,-33.69,-53.46,60.25,79,60,6.38
sabang,id,13.8,121.11,74.11,96,98,0.96
beloha,mg,-25.17,45.06,65.47,66,0,2.59
norman wells,ca,65.28,-126.83,69.8,64,75,5.82
tashtyp,ru,52.8,89.89,53.59,99,100,2.84
severo-kurilsk,ru,50.68,156.12,48.37,94,77,7.09
touros,br,-5.2,-35.46,78.8,83,75,17.22
raipur,in,21.24,81.63,85.27,70,81,5.91
bredasdorp,za,-34.53,20.04,45.66,87,62,12.75
ornskoldsvik,se,63.29,18.72,63.59,59,0,5.82
gari,ru,59.43,62.35,64.93,68,0,4.85
saskylakh,ru,71.97,114.09,54.13,50,72,9.6
trinidad,cu,-14.83,-64.9,89.6,55,40,3.36
dikson,ru,73.51,80.55,40.27,82,15,21.39
puerto ayora,ec,-0.74,-90.35,74.48,65,40,16.11
yulara,au,-25.24,130.99,39.2,35,0,3.36
kendari,id,-3.99,122.52,73.03,96,6,1.14
brandon,ca,43.59,-96.57,90.01,70,1,13.87
upernavik,gl,72.79,-56.15,44.23,91,98,13.58
busselton,au,-33.64,115.35,43.99,98,49,29.08
tazovskiy,ru,67.47,78.7,64.75,65,0,13.18
butaritari,ki,3.07,172.79,84.55,66,100,8.25
loandjili,cg,-4.77,11.87,73.4,94,75,5.82
sao filipe,cv,14.9,-24.5,75.73,84,1,13.89
berlevag,no,70.86,29.09,52.39,93,75,13.87
kavieng,pg,-2.57,150.8,83.47,76,12,13.15
qaanaaq,gl,77.48,-69.36,40.45,78,100,7.96
avera,pf,33.19,-82.53,91.36,83,75,2.48
longyearbyen,sj,78.22,15.63,46.4,75,75,5.82
carnarvon,au,-30.97,22.13,44.41,70,53,14.29
lebu,cl,8.96,38.73,58.63,88,92,2.77
isangel,vu,-19.55,169.27,71.6,78,75,17.31
zhuhai,cn,40.71,112.04,66.2,93,85,4.47
leningradskiy,ru,69.38,178.42,36.67,82,75,1.83
lagoa,pt,37.14,-8.45,80.02,64,0,10.29
kijang,id,35.24,129.21,77.0,88,90,17.22
mogadishu,so,2.04,45.34,75.55,79,63,12.15
codrington,ag,-28.95,153.24,45.16,100,0,6.93
vila velha,br,-3.71,-38.6,84.33,58,20,13.87
santiago,co,16.69,121.54,73.93,87,100,2.98
adrar,dz,27.87,-0.29,114.8,6,70,16.11
gat,ly,14.69,-16.54,88.52,65,40,10.29
bambous virieux,mu,-20.34,57.76,70.3,78,40,17.22
nigde,tr,37.97,34.68,61.87,65,26,9.73
batagay,ru,67.65,134.64,37.75,86,11,9.22
dwarka,in,28.58,77.04,88.47,74,40,3.36
zhigansk,ru,66.77,123.37,46.57,69,27,14.36
mahebourg,mu,-20.41,57.7,70.23,78,40,17.22
savannah bight,hn,16.45,-85.85,81.31,79,8,14.0
tuktoyaktuk,ca,69.44,-133.03,53.6,87,90,14.99
ribeira grande,pt,38.52,-28.7,77.0,78,40,12.75
bilma,ne,18.69,12.92,99.85,22,23,18.81
dudinka,ru,69.41,86.18,59.0,58,0,8.95
bereda,so,43.27,-7.54,73.78,64,0,3.36
scottsboro,us,34.67,-86.03,84.04,70,99,9.17
bluff,nz,-23.58,149.07,50.35,59,0,7.92
zirandaro,mx,18.45,-100.98,90.13,53,45,2.55
farah,af,32.37,62.11,87.97,9,0,5.41
suileng,cn,47.25,127.08,66.91,93,59,8.48
paamiut,gl,61.99,-49.67,45.67,87,100,7.11
hermanus,za,-34.42,19.24,48.29,98,56,3.0
torbay,ca,47.66,-52.73,72.28,46,40,25.28
east london,za,-33.02,27.91,57.2,58,0,27.51
el tarra,co,8.57,-73.09,86.17,51,98,2.26
porosozero,ru,62.72,32.71,56.29,87,94,7.56
